training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.952472,-7.952472,0.15024103,1.0,0.08828117,-0.06514884,2.4479547,7.9652033,-7.9652033,0.15342376,1.0,0.04473279395103454,223.66398763656616,5000
7.825832,-7.825832,0.1185809,1.0,0.067505546,-0.05741801,2.0658216,7.87685,-7.87685,0.13133553,1.0,0.0011714301109313964,229.52114343643188,10000
7.802585,-7.802585,0.112769246,1.0,0.10409473,-0.12010743,2.7049823,7.843327,-7.843327,0.122954704,1.0,0.0011507760524749756,235.27502942085266,15000
7.766603,-7.766603,0.10377365,1.0,0.07140571,-0.05323816,1.9705054,7.830413,-7.830413,0.11972624,1.0,0.0011632915496826172,241.0914921760559,20000
7.7598753,-7.7598753,0.10209175,1.0,0.17796916,-0.21639997,3.1866722,7.81699,-7.81699,0.116370425,1.0,0.001180518674850464,246.99409008026123,25000
7.7226467,-7.7226467,0.09278472,1.0,0.112275094,-0.071009144,2.0161598,7.8022623,-7.8022623,0.112688586,1.0,0.0011636902332305909,252.81254625320435,30000
7.721196,-7.721196,0.092422016,1.0,0.09696406,-0.12673438,2.155885,7.802151,-7.802151,0.112660736,1.0,0.0011621413230895996,258.6232588291168,35000
7.711523,-7.711523,0.09000379,1.0,0.099947914,-0.116281204,2.2955866,7.7901545,-7.7901545,0.10966152,1.0,0.001192911434173584,264.5878210067749,40000
7.7233124,-7.7233124,0.09295113,1.0,0.04567981,-0.049604915,1.5274277,7.7913284,-7.7913284,0.10995512,1.0,0.0011524820804595947,270.35023641586304,45000
7.720525,-7.720525,0.0922542,1.0,0.15872952,-0.17613962,2.4976802,7.797976,-7.797976,0.11161699,1.0,0.0011815879344940186,276.25818133354187,50000
7.697998,-7.697998,0.0866224,1.0,0.065045446,-0.07874873,1.6935045,7.7858706,-7.7858706,0.10859057,1.0,0.0011709286689758301,282.11282992362976,55000
7.6885858,-7.6885858,0.08426947,1.0,0.05442246,-0.08463232,1.5282489,7.777329,-7.777329,0.10645521,1.0,0.0011711512088775635,287.9685914516449,60000
7.668337,-7.668337,0.07920721,1.0,0.10892845,-0.16732979,2.0336127,7.7758975,-7.7758975,0.10609739,1.0,0.001157384443283081,293.75551891326904,65000
7.676998,-7.676998,0.0813725,1.0,0.079418674,-0.060367733,1.526473,7.7871075,-7.7871075,0.10889983,1.0,0.001168418264389038,299.5976152420044,70000
7.6633606,-7.6633606,0.07796309,1.0,0.12341012,-0.12415848,1.9303094,7.7887735,-7.7887735,0.10931641,1.0,0.001179183006286621,305.4935357570648,75000
7.682728,-7.682728,0.08280496,1.0,0.11414483,-0.119393386,1.9767641,7.7881656,-7.7881656,0.10916436,1.0,0.001178116273880005,311.3841223716736,80000
7.6934085,-7.6934085,0.085475095,1.0,0.11336275,-0.12732276,2.1122243,7.776856,-7.776856,0.106336966,1.0,0.0011885564327239991,317.32690930366516,85000
7.665375,-7.665375,0.07846682,1.0,0.119836956,-0.15532282,2.2199268,7.7880354,-7.7880354,0.10913189,1.0,0.0011752570152282714,323.2031993865967,90000
