training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0081391,-2.7130747,0.008139224,0.87519765,24.654762,0.9999999,-24.654762,1.0,0.24780035,0.0,-16.399239,-75.78636,10.840689,-7.95758,104.76574,0.44813788,-15.849448,-75.54584,0.0609594,1.0083379,-2.7806113,0.008341834,0.94273424,26.442186,0.999996,-26.442081,1.0,0.21486214,0.0,-19.155827,-75.32532,0.88114315,-18.675648,-75.10054,0.05388865,0.0016412061214447023,270.905620098114,65000
1.0083617,-2.78727,0.008361811,0.94939315,25.704967,0.99999994,-25.704967,1.0,0.3287308,0.0023941994,-18.108494,-75.18863,1.2002629,-3.086203,39.41994,0.988906,-17.633045,-74.902176,0.11394826,1.0085378,-2.8459446,0.0085378345,1.0080676,26.175873,0.99999994,-26.175873,1.0,0.49621883,0.0,-16.988728,-74.90192,1.5694871,-16.469559,-74.47728,0.12757957,0.0016393287658691407,279.1022686958313,70000
1.0083457,-2.7819324,0.008345798,0.94405544,25.065552,0.99999994,-25.065552,1.0,0.32146963,0.0,-17.556616,-76.956795,11.284737,-9.139038,126.05047,0.5423124,-17.019234,-76.72251,0.055696584,1.0082132,-2.7431698,0.008229509,0.9052928,26.287415,0.9999836,-26.286985,1.0,0.33551413,0.0,-17.902847,-76.39341,0.73280966,-17.362385,-76.15383,0.054334022,0.0016907176494598388,287.5558617115021,75000
1.0083791,-2.7930834,0.00837925,0.9552063,25.357052,0.9999999,-25.357052,1.0,0.66734743,0.0,-17.747696,-75.84953,55.068554,-58.117607,562.07025,0.83899504,-17.263348,-75.63239,0.073096305,1.008205,-2.735031,0.0082050925,0.8971538,25.289928,0.99999994,-25.289928,1.0,1.0508907,0.0,-16.724487,-75.095085,0.9167637,-16.164232,-74.91223,0.09058586,0.0016400259971618653,295.7559962272644,80000
1.0083812,-2.7937374,0.008381212,0.9558604,25.75115,1.0,-25.75115,1.0,1.3507203,1.840034,-16.707859,-75.9587,27.634394,-31.841959,324.71442,3.1122372,-16.230701,-75.59199,0.22647393,1.0083011,-2.7670822,0.008301247,0.9292052,24.720871,0.99999994,-24.720871,1.0,1.215739,2.4750273,-16.913347,-76.13195,3.6756363,-16.439423,-75.987114,0.204164,0.0016384278297424317,303.94814133644104,85000
1.0082753,-2.7584448,0.008275334,0.92056763,25.087122,0.99999994,-25.087122,1.0,0.7653618,0.0,-19.088543,-74.41579,57.7978,-61.917274,568.0731,0.7294129,-18.581612,-74.08041,0.06469837,1.0082437,-2.747937,0.008243811,0.9100599,24.719652,0.9999999,-24.719652,1.0,0.29413432,0.0,-17.699726,-76.69277,0.7616044,-17.208645,-76.50173,0.056754515,0.0016386564254760741,312.1414284706116,90000
1.0084121,-2.804047,0.008412143,0.9661703,25.71782,0.99999994,-25.71782,1.0,0.6363481,0.0,-18.30943,-74.898544,12.588032,-14.080692,161.40057,1.1223993,-17.822699,-74.68551,0.0671913,1.0082889,-2.762988,0.008288965,0.92511094,24.258335,0.99999994,-24.258335,1.0,0.59025764,0.0,-16.932594,-75.066315,1.0773542,-16.395792,-74.85957,0.07621464,0.001642530632019043,320.35408639907837,95000
1.0083174,-2.7724683,0.008317405,0.9345911,25.083284,0.99999994,-25.083284,1.0,0.393983,0.0,-17.26006,-77.14448,5.4933143,-2.8176844,63.48426,1.8110812,-16.741148,-76.93482,0.09283313,1.0083705,-2.7902122,0.008370637,0.9523352,26.661001,0.99999994,-26.661001,1.0,0.37554523,0.0,-17.809843,-76.93355,0.8167391,-17.34303,-76.70033,0.07819538,0.0016395301818847656,328.5517427921295,100000
1.0082927,-2.7642431,0.008292729,0.92636615,25.791878,0.99999994,-25.791878,1.0,0.2246585,0.0,-16.9805,-76.62322,15.558526,-18.417603,235.42485,0.89476335,-16.425596,-76.467735,0.059548534,1.0082744,-2.7589564,0.008276869,0.9210793,25.847576,0.9999976,-25.847517,1.0,0.25116628,0.0,-17.33273,-75.01231,0.3931598,-16.799303,-74.796486,0.04973456,0.021688153982162475,436.9925172328949,105000
1.0083985,-2.799553,0.0083986595,0.96167606,26.436972,0.9999998,-26.43697,1.0,0.3476345,0.0,-18.329254,-77.404434,55.189613,-47.228733,462.60025,1.1864177,-17.80745,-77.12275,0.049995802,1.008218,-2.7393675,0.008218104,0.9014906,26.31244,0.99999994,-26.31244,1.0,0.7451639,0.0,-17.729853,-74.38221,0.40170553,-17.203213,-74.2951,0.04562109,0.001666261386871338,445.32382893562317,110000
1.0083603,-2.7867672,0.008360302,0.94889027,25.057005,0.99999994,-25.057005,1.0,0.41388258,0.0,-15.452955,-76.67591,9.638422,-4.6065445,106.85538,0.6020428,-14.915274,-76.44695,0.074982695,1.008313,-2.7710328,0.008313098,0.9331558,24.549051,0.9999999,-24.549051,1.0,0.3578321,0.0,-16.847235,-76.86986,0.44001034,-16.364075,-76.66381,0.06730692,0.0016656516075134278,453.6520917415619,115000
1.0083834,-2.7944705,0.008383412,0.95659363,26.319744,0.99999994,-26.319744,1.0,0.67678577,0.0,-18.27322,-76.51779,34.91448,-38.763927,348.5555,0.8199287,-17.861898,-76.27969,0.08887839,1.0082698,-2.7566342,0.008269902,0.9187571,26.759796,0.99999994,-26.759796,1.0,0.773287,0.0,-18.06952,-77.42021,1.0725976,-17.703308,-77.20591,0.080566965,0.001665479278564453,461.9794924259186,120000
1.0083202,-2.773457,0.008320372,0.9355799,25.308867,0.9999999,-25.308867,1.0,0.93610954,0.0,-17.025723,-77.59536,67.99547,-76.57945,720.8278,0.993797,-16.514868,-77.43738,0.07580054,1.0083859,-2.7986996,0.008396098,0.9608226,24.893124,0.99998975,-24.89287,1.0,0.7722899,0.0,-17.566198,-77.966934,0.54151285,-17.038488,-77.71711,0.06774898,0.001662805461883545,470.2935245037079,125000
1.0083239,-2.7746503,0.008323951,0.9367731,26.352724,0.99999994,-26.352724,1.0,0.247477,0.0,-16.404774,-77.07137,4.978484,-4.8525486,56.82323,0.3945979,-15.865688,-76.894485,0.06980604,1.0082866,-2.7622108,0.008286633,0.92433393,24.785524,0.99999994,-24.785524,1.0,0.225424,0.0,-18.690174,-77.83119,0.8332648,-18.166111,-77.62061,0.062196746,0.0016610708713531493,478.5988838672638,130000
1.0081747,-2.7249012,0.0081747025,0.88702416,26.834911,0.99999994,-26.834911,1.0,1.0793033,0.0,-18.53933,-73.631454,18.923346,-16.150028,164.82242,0.22144493,-18.359598,-73.33596,0.051125504,1.0083251,-2.7750375,0.008325112,0.93716055,26.836727,0.99999994,-26.836727,1.0,0.9380627,0.0,-18.871769,-76.82883,0.10243758,-18.746132,-76.612595,0.06403425,0.0016661074161529541,486.9294273853302,135000
1.008133,-2.7110496,0.008133149,0.8731725,24.61214,0.99999994,-24.61214,1.0,0.2816235,0.0,-17.085804,-77.49705,6.1316566,-6.7658067,98.237206,0.54750484,-16.571041,-77.26617,0.10493145,1.0082757,-2.7585835,0.008275751,0.92070645,25.83923,0.99999994,-25.83923,1.0,0.2539475,0.0,-17.446793,-76.193214,0.60128623,-16.920864,-75.9212,0.1013075,0.001664527702331543,495.2520709037781,140000
1.0084337,-2.8112435,0.008433731,0.9733666,27.12496,0.99999994,-27.12496,1.0,0.38495255,0.0,-18.794693,-76.700424,6.93666,-8.669379,90.13868,0.6435778,-18.239866,-76.4379,0.063480705,1.0082902,-2.7666502,0.008299952,0.92877334,26.545834,0.9999902,-26.545574,1.0,0.35910505,0.0,-17.7952,-77.9605,0.6222032,-17.238686,-77.70926,0.071652636,0.001666673469543457,503.58544301986694,145000
1.008224,-2.7413964,0.008224189,0.9035195,25.347488,0.9999999,-25.347488,1.0,0.33593965,0.0,-17.01697,-78.40917,4.7601566,-4.3036866,59.0993,0.8542876,-16.459743,-78.17995,0.06455837,1.0081676,-2.7225633,0.008167691,0.88468635,25.82745,0.9999999,-25.82745,1.0,0.31156963,0.0,-16.985512,-77.26134,0.772293,-16.467976,-77.062256,0.06913999,0.0016657719612121582,511.9143075942993,150000
1.0083773,-2.7924733,0.00837742,0.9545961,26.677696,0.99999994,-26.677696,1.0,0.7103598,0.0,-17.123808,-78.2247,5.469336,-6.4462633,92.31287,0.83278394,-16.610125,-77.979355,0.12563536,1.0082668,-2.75842,0.008275259,0.9205429,25.019176,0.9999916,-25.018967,1.0,0.6887369,0.0,-18.367382,-76.72429,0.7852045,-17.874992,-76.46644,0.107046515,0.0016571728706359864,520.2001767158508,155000
1.0082132,-2.7377582,0.008213274,0.8998811,26.034786,0.99999994,-26.034786,1.0,0.19969559,0.0,-17.615166,-77.37906,8.041995,-8.561528,92.50875,0.37011606,-17.112137,-77.17608,0.051452152,1.0082892,-2.7630582,0.008289174,0.925181,26.255308,1.0,-26.255308,1.0,0.26071525,0.0,-17.159311,-76.33888,0.30619395,-16.64473,-76.175156,0.05227548,0.0016638969898223877,528.5196666717529,160000
1.0082521,-2.7507453,0.008252237,0.91286826,26.068644,0.99999994,-26.068644,1.0,0.8911617,0.0,-18.088293,-76.566124,15.340214,-13.085524,186.213,0.549506,-17.592556,-76.36568,0.054006718,1.0081102,-2.7034206,0.008110261,0.86554337,25.381378,0.99999994,-25.381378,1.0,0.6831198,0.0,-18.29998,-76.190315,0.64809966,-17.771511,-75.9565,0.060937107,0.0016594293117523193,536.8168177604675,165000
1.0083046,-2.768255,0.008304765,0.93037796,26.487461,0.9999999,-26.487461,1.0,0.80307287,0.0,-17.88881,-78.27708,4.127202,-4.043826,62.280766,0.9415977,-17.400612,-78.05863,0.12197755,1.0083724,-2.7938542,0.008381562,0.9559771,25.928038,0.9999908,-25.927801,1.0,0.8466931,0.0,-18.01305,-75.164085,0.96526533,-17.486935,-74.769005,0.11093986,0.0016698834896087646,545.1662402153015,170000
1.0083008,-2.7669344,0.008300804,0.92905754,25.897886,1.0,-25.897886,1.0,0.31502545,0.0,-17.754833,-75.14904,10.214851,-10.773164,129.34348,0.48499548,-17.223186,-74.7903,0.05688446,1.0082028,-2.7343173,0.008202951,0.89644015,25.098854,0.9999999,-25.098854,1.0,0.26408368,0.0,-17.945171,-76.768524,0.47906104,-17.418243,-76.45344,0.05527062,0.0016679841518402099,553.5061676502228,175000
