training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
62.367065,-50.11423,1328.771,307.7802,1.500907,-13.22032,0.80618685,1.0,21.86584,0.14326026,-2.1707096,0.3328327,1.0,0.56109476,-9.548689,-27.574657,0.69161,263.91516,1.3532531,-13.0227375,0.7666702,1.0,20.675034,0.13561717,-2.2039561,0.36607918,1.0,0.105056405,-10.263686,-27.556908,1.7035687,0.03834821343421936,191.7410967350006,5000
42.5039,-42.124123,747.5221,352.40573,2.705999,-13.029132,0.76794934,1.0,24.82942,0.18132435,-2.1938229,0.355946,1.0,-0.09489328,-15.410853,-45.03073,0.6627117,353.58728,2.4536324,-13.210043,0.8041315,1.0,24.573975,0.19530632,-2.1799765,0.34209937,1.0,-0.20077741,-15.381634,-45.032146,0.8796285,0.002253122091293335,203.0067126750946,10000
152.15868,-134.95592,2131.1235,419.4619,3.359913,-13.449162,0.85195535,1.0,47.66061,0.2930259,-2.2002454,0.36236838,1.0,0.74802005,-20.749779,-58.51023,1.2491589,412.40564,3.3926883,-13.662336,0.8945901,1.0,42.024517,0.24905759,-2.1907024,0.35282525,1.0,0.4648909,-21.29065,-58.488953,1.0223877,0.0022483922004699706,214.24867844581604,15000
227.31627,-199.0582,3120.6555,362.34912,2.276449,-13.791464,0.9204157,1.0,27.90955,0.2099405,-2.1701584,0.33228138,1.0,1.1635318,-16.649868,-69.61673,1.4152012,415.03833,3.1682847,-13.681873,0.89849776,1.0,29.080147,0.23572785,-2.1805384,0.34266132,1.0,0.9061202,-17.48041,-69.655975,1.1923529,0.002248360633850098,225.4904866218567,20000
108.620514,-107.397606,1579.34,436.18066,4.7308407,-12.4220295,0.646529,1.0,72.77211,0.47311848,-2.1783185,0.34044132,1.0,0.5000786,-29.899452,-77.225006,2.2702594,443.79596,4.685457,-12.722824,0.7066876,1.0,73.14581,0.49954924,-2.1868813,0.34900433,1.0,1.5858141,-28.12649,-77.181786,1.9979782,0.0022508025646209716,236.7445044517517,25000
36.91146,-38.13097,587.9397,372.08813,3.3933094,-12.102641,0.58265126,1.0,37.61583,0.33266932,-2.2399282,0.4020515,1.0,0.37190962,-20.9842,-83.62774,0.89169246,371.00946,3.1056561,-12.104807,0.5830845,1.0,39.92146,0.3278671,-2.2288527,0.39097568,1.0,0.40906918,-21.111135,-83.687454,1.005861,0.0022478946685791017,247.9839825630188,30000
184.30031,-173.01176,2468.8086,382.0094,3.267951,-13.802681,0.9226591,1.0,40.905624,0.33302492,-2.300918,0.4630411,1.0,1.8357347,-22.356287,-88.98648,1.6116838,361.18024,3.2104917,-13.615013,0.8851258,1.0,41.07366,0.38536993,-2.3099508,0.47207373,1.0,2.225836,-22.364231,-88.94403,1.7221608,0.0022503401279449463,259.2356882095337,35000
298.2769,-284.03503,3263.3853,411.52896,3.0435367,-13.35791,0.83370495,1.0,33.226284,0.2933666,-2.1890182,0.35114124,1.0,0.92142045,-21.19812,-89.69056,0.6361357,390.65118,2.951378,-13.465934,0.8553099,1.0,35.533585,0.3105204,-2.2060463,0.36816943,1.0,0.5471372,-20.693735,-89.86865,0.68384314,0.0022464241504669188,270.4678132534027,40000
9.806457,-11.557458,254.71675,320.46573,3.297082,-11.736023,0.50932735,1.0,28.985044,0.33332023,-2.3602662,0.52238905,1.0,0.7094798,-22.04196,-94.429695,1.3526947,343.19836,3.8721335,-11.632294,0.48858187,1.0,32.49892,0.40502816,-2.3312979,0.4934209,1.0,1.7904295,-23.67476,-94.19834,1.4430323,0.0022495607376098632,281.7156217098236,45000
15.200834,-15.490633,356.3482,369.61362,3.0165815,-12.460048,0.65413266,1.0,33.93451,0.34073305,-2.2347193,0.39684233,1.0,0.21944201,-22.519714,-96.10249,0.81556946,401.35153,3.4640613,-12.1989155,0.601906,1.0,34.55095,0.38478082,-2.195025,0.35714787,1.0,0.21865994,-22.730867,-95.666,0.742867,0.0022490159034729003,292.96070623397827,50000
