training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.023739,-7.912976,0.023738928,0.14036688,64.59044,1.0,-64.59044,1.0,0.42892066,56.72795,-52.095383,496.4913,367.06256,1115.5526,166.83495,0.63312036,0.041481797,1.8898042,0.8390864,0.009179521,298.26187,2.5406554,381.97565,379.435,1.0238748,-7.958234,0.0238747,0.15168142,59.47798,1.0,-59.47798,1.0,0.44629332,363.48532,1055.3041,170.95999,0.17373648,0.041909546,2.313913,0.82260627,0.007900951,298.26016,2.4130604,378.39832,375.98526,0.0036942469120025633,455.5406291484833,55000
1.0236981,-7.8993497,0.023698049,0.13696034,62.54225,1.0,-62.54225,1.0,0.49814853,62.083443,-97.1016,676.5745,360.60602,1087.2877,176.81442,0.8043448,0.05417743,2.2951593,0.8634803,0.0054503144,297.6034,-1.243217,375.48618,376.7294,1.0239133,-7.9710984,0.023913294,0.15489751,64.77639,1.0,-64.77639,1.0,0.5039503,362.19202,1030.3773,169.72835,0.7733809,0.068164915,3.3844736,0.8429002,0.004581513,297.61206,-5.4060974,377.07263,382.47873,0.003693825674057007,474.00976276397705,60000
1.0236577,-7.885893,0.02365768,0.1335961,61.32213,1.0,-61.32213,1.0,0.6823351,117.315094,-160.55475,1048.1138,362.27087,1178.9482,180.70082,1.0234725,0.05481344,3.5766726,0.8175441,0.0,294.69522,-1.4184978,377.00565,378.42413,1.023901,-7.966981,0.023900943,0.1538682,60.20139,1.0,-60.20139,1.0,0.47539413,365.91968,1096.8937,170.13116,0.40489084,0.09272013,6.295838,0.8533319,0.0061900085,294.84225,-12.595698,380.66177,393.25748,0.0036941134452819825,492.4803352355957,65000
1.0235226,-7.8408775,0.02352263,0.12234223,66.08205,1.0,-66.08205,1.0,0.5855471,84.45944,-86.63119,713.5296,364.26407,1194.8922,182.00867,0.24729204,0.050702482,2.325121,0.852431,0.0043029846,288.00278,-0.20231669,378.66418,378.86652,1.0238107,-7.9369316,0.023810796,0.1463559,61.52895,1.0,-61.52895,1.0,0.44844785,357.14026,1149.265,193.39392,0.44851547,0.055428453,3.607548,0.85314286,0.005990695,287.99588,-1.5633718,371.54004,373.10342,0.003694779396057129,510.9542384147644,70000
1.023566,-7.8553505,0.02356605,0.12596047,62.877186,1.0,-62.877186,1.0,0.46484315,51.69048,-42.09256,586.0867,362.41687,1213.39,176.80606,0.70968574,0.051269144,2.4354987,0.8539972,0.0025768052,300.8412,-0.38181052,377.45892,377.84073,1.0237026,-7.900875,0.023702625,0.13734171,60.776527,1.0,-60.776527,1.0,0.46682626,372.42883,1157.6539,161.36656,0.29645535,0.04946924,3.0955043,0.86627257,0.011185109,300.83847,0.15967324,387.47076,387.3111,0.0036944119453430177,529.4263029098511,75000
1.0235472,-7.849053,0.02354716,0.124386266,67.62737,1.0,-67.62737,1.0,0.49698082,84.04002,-87.24219,656.1395,364.01544,1163.8483,170.18066,0.21064757,0.046057515,2.5556993,0.8461306,0.0041164863,300.45526,1.1845406,379.0382,377.85367,1.0236022,-7.8674526,0.023602357,0.12898606,61.933067,0.99999994,-61.933067,1.0,0.4258433,354.11615,1065.6713,184.30797,1.0386009,0.074160084,4.994372,0.8214667,0.0055370973,300.45355,-7.2589827,369.13882,376.3978,0.0036929426193237306,547.8910224437714,80000
1.023472,-7.8239803,0.02347194,0.11811797,63.192642,1.0,-63.192642,1.0,0.46701777,57.639732,-53.214478,529.3679,360.6311,1269.7782,188.98422,0.6412606,0.044552084,2.4142559,0.82732004,0.0027454407,290.33856,1.5817403,375.148,373.56628,1.0236504,-7.883462,0.023650385,0.13298848,63.435062,1.0,-63.435062,1.0,0.43512192,359.11035,1182.3435,190.3405,0.15731288,0.041696023,2.2685554,0.8201512,0.005023474,290.3395,2.4109728,373.62735,371.21637,0.0036959164142608644,566.3706095218658,85000
1.0234057,-7.801832,0.023405496,0.11258091,62.314457,1.0000001,-62.314457,1.0,0.41016605,68.12375,-60.621277,492.08057,350.22003,1263.57,207.73166,0.9217766,0.04351605,2.069296,0.8154845,0.0069006314,298.03793,1.9324629,365.12192,363.18945,1.0234379,-7.8126225,0.023437867,0.115278594,61.220734,1.0,-61.220734,1.0,0.43107516,357.93207,1183.5448,193.01923,0.3147643,0.0819449,7.014888,0.83439434,0.0076636085,298.03696,-9.52076,372.83392,382.35468,0.0036951823234558107,584.8465275764465,90000
1.0234472,-7.8157315,0.023447195,0.11605586,68.19661,1.0,-68.19661,1.0,0.4412706,82.80663,-77.07374,670.7825,362.76746,1294.5137,181.36574,1.0086883,0.053646803,3.1349955,0.88370633,0.004568861,295.7929,-1.0786982,377.5571,378.6358,1.0235339,-7.8446493,0.023533948,0.12328535,63.425846,1.0,-63.425846,1.0,0.4519637,357.18524,1158.8894,189.66699,0.770592,0.05379427,2.7580342,0.85124123,0.007707829,295.78784,-1.1222982,371.97464,373.09692,0.003694624423980713,603.3196544647217,95000
1.0233401,-7.7800446,0.023340136,0.10713411,65.911224,1.0,-65.911224,1.0,0.43479943,132.8561,-122.19866,850.46027,355.54736,1276.2343,205.32953,1.0436943,0.055343255,2.4423811,0.85890913,0.0040926416,290.27322,-1.5510038,370.06104,371.61203,1.0235829,-7.860965,0.023582894,0.12736428,62.73919,1.0,-62.73919,1.0,0.43740717,361.03354,1192.6405,190.70305,1.0057483,0.05112688,2.9616985,0.84478664,0.00850745,290.27682,-0.32710657,375.54736,375.87448,0.003695033550262451,621.7948293685913,100000
