training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
2.257656,-2.257656,0.4197789,1.0,0.11481485,-0.110969424,2.1889668,2.2598224,-2.2598224,0.4219451,1.0,0.03116761784553528,155.83810710906982,5000
2.2239175,-2.2239175,0.38604078,1.0,0.10060814,-0.060890526,1.570573,2.2285452,-2.2285452,0.39066806,1.0,0.011420163726806641,212.93894219398499,10000
2.247065,-2.247065,0.4091881,1.0,0.12756835,-0.09755248,2.2818003,2.2200813,-2.2200813,0.3822042,1.0,0.011429540491104126,270.08666229248047,15000
2.238101,-2.238101,0.4002238,1.0,0.13837266,-0.080881886,2.0993638,2.232909,-2.232909,0.3950318,1.0,0.011424753999710083,327.2104477882385,20000
2.2015269,-2.2015269,0.36364967,1.0,0.10717058,-0.16126293,2.0714517,2.2307084,-2.2307084,0.39283097,1.0,0.011424485921859741,384.3328950405121,25000
2.2165465,-2.2165465,0.37866947,1.0,0.09082132,-0.10048148,1.7599068,2.2275739,-2.2275739,0.3896965,1.0,0.011424915599822998,441.45748925209045,30000
2.2073622,-2.2073622,0.36948517,1.0,0.1614102,-0.08653819,2.2681208,2.249616,-2.249616,0.41173908,1.0,0.011417417240142821,498.5445911884308,35000
2.2243588,-2.2243588,0.38648185,1.0,0.10920483,-0.18672217,2.0387673,2.2101765,-2.2101765,0.37229976,1.0,0.011422916460037232,555.6591911315918,40000
2.2262125,-2.2262125,0.38833544,1.0,0.13376325,-0.13710386,2.491439,2.2100174,-2.2100174,0.37214026,1.0,0.011424828290939331,612.7833468914032,45000
2.1931744,-2.1931744,0.3552975,1.0,0.08329743,-0.100433454,1.9198523,2.2028024,-2.2028024,0.3649251,1.0,0.011430797672271729,669.9373512268066,50000
2.216825,-2.216825,0.37894785,1.0,0.2216984,-0.12541723,2.2194133,2.20088,-2.20088,0.3630031,1.0,0.011428292751312255,727.0788307189941,55000
2.1883657,-2.1883657,0.3504887,1.0,0.121907495,-0.11586684,2.0353422,2.2025123,-2.2025123,0.36463526,1.0,0.011426130437850951,784.2095005512238,60000
2.2112489,-2.2112489,0.3733719,1.0,0.13113979,-0.092230275,2.268072,2.2343473,-2.2343473,0.39647067,1.0,0.011434258460998535,841.3808104991913,65000
2.2169247,-2.2169247,0.37904775,1.0,0.11101638,-0.16577044,2.3957658,2.2243452,-2.2243452,0.3864681,1.0,0.01143123860359192,898.5370237827301,70000
2.2029412,-2.2029412,0.365064,1.0,0.119755864,-0.12438218,1.8960611,2.2265882,-2.2265882,0.38871124,1.0,0.011425634574890136,955.6652135848999,75000
2.2216978,-2.2216978,0.3838208,1.0,0.14682692,-0.09106128,2.2096858,2.2062836,-2.2062836,0.3684062,1.0,0.011423372793197632,1012.7820928096771,80000
2.188713,-2.188713,0.35083598,1.0,0.15583828,-0.08980651,1.6585554,2.2113633,-2.2113633,0.37348664,1.0,0.011419337224960326,1069.8787944316864,85000
2.216574,-2.216574,0.37869656,1.0,0.1391672,-0.10330582,2.0692828,2.2188106,-2.2188106,0.38093343,1.0,0.011445383262634277,1127.1057279109955,90000
2.2058282,-2.2058282,0.3679513,1.0,0.09921799,-0.0746942,1.5052344,2.2009974,-2.2009974,0.36312032,1.0,0.011442822694778443,1184.319857120514,95000
2.1877787,-2.1877787,0.34990168,1.0,0.13966842,-0.08520351,1.5602746,2.1956034,-2.1956034,0.35772648,1.0,0.011433637428283691,1241.4880588054657,100000
2.185123,-2.185123,0.34724593,1.0,0.21824144,-0.2353257,2.1797376,2.2164695,-2.2164695,0.3785923,1.0,0.029576989936828613,1389.3730325698853,105000
2.206954,-2.206954,0.36907694,1.0,0.18173912,-0.10425973,1.9375439,2.2096746,-2.2096746,0.3717977,1.0,0.011480442285537719,1446.7752599716187,110000
2.224605,-2.224605,0.386728,1.0,0.16564238,-0.13288888,3.0536954,2.205451,-2.205451,0.3675739,1.0,0.011475277662277222,1504.151664018631,115000
2.2045362,-2.2045362,0.3666591,1.0,0.15072565,-0.18406925,3.436453,2.2027125,-2.2027125,0.3648356,1.0,0.01147728910446167,1561.5381257534027,120000
2.18678,-2.18678,0.348903,1.0,0.08395638,-0.0942571,1.6137877,2.2050352,-2.2050352,0.36715817,1.0,0.01147854175567627,1618.9308507442474,125000
2.2023354,-2.2023354,0.36445805,1.0,0.1591349,-0.15780067,2.0188222,2.213812,-2.213812,0.37593508,1.0,0.011463797903060914,1676.2498576641083,130000
2.1881518,-2.1881518,0.35027483,1.0,0.17595288,-0.09063747,3.0240157,2.2075336,-2.2075336,0.3696563,1.0,0.011453308773040771,1733.5164184570312,135000
2.200258,-2.200258,0.36238098,1.0,0.11153583,-0.13560294,2.563169,2.2123768,-2.2123768,0.3744999,1.0,0.011464849376678467,1790.8406805992126,140000
2.1937063,-2.1937063,0.35582912,1.0,0.19295855,-0.0913321,1.9747479,2.208717,-2.208717,0.3708399,1.0,0.011444819164276122,1848.0647928714752,145000
2.1874683,-2.1874683,0.34959128,1.0,0.1125682,-0.10469925,1.9189081,2.2286851,-2.2286851,0.3908079,1.0,0.01144988670349121,1905.3142411708832,150000
2.1909814,-2.1909814,0.3531043,1.0,0.107505545,-0.13739257,2.880664,2.198371,-2.198371,0.3604938,1.0,0.01147586727142334,1962.6935999393463,155000
2.1940506,-2.1940506,0.35617363,1.0,0.18131861,-0.10504088,2.2575939,2.2048583,-2.2048583,0.3669816,1.0,0.011476891613006591,2020.0780744552612,160000
2.2009106,-2.2009106,0.36303335,1.0,0.12088239,-0.098389976,1.6731992,2.219781,-2.219781,0.38190374,1.0,0.01148742904663086,2077.515236854553,165000
2.1868556,-2.1868556,0.34897855,1.0,0.17287078,-0.13715607,2.4126384,2.2127376,-2.2127376,0.37486044,1.0,0.011468075132369995,2134.8556282520294,170000
2.2030787,-2.2030787,0.36520204,1.0,0.1074647,-0.13629058,2.200729,2.216956,-2.216956,0.379079,1.0,0.011485532999038697,2192.2833154201508,175000
2.2019262,-2.2019262,0.36404908,1.0,0.20300002,-0.12446435,2.5355961,2.202571,-2.202571,0.36469385,1.0,0.011490686845779419,2249.73676609993,180000
2.1969252,-2.1969252,0.35904822,1.0,0.13561349,-0.12988833,2.6742651,2.2225647,-2.2225647,0.384688,1.0,0.011483863592147828,2307.1560995578766,185000
2.1877954,-2.1877954,0.34991828,1.0,0.09821705,-0.1406571,1.7353222,2.1998603,-2.1998603,0.3619833,1.0,0.011477306365966796,2364.542647123337,190000
2.1916492,-2.1916492,0.35377204,1.0,0.11182138,-0.12335484,2.263665,2.2073138,-2.2073138,0.36943674,1.0,0.011470092582702637,2421.8931255340576,195000
2.2029014,-2.2029014,0.36502388,1.0,0.11652851,-0.10489507,2.1166165,2.201805,-2.201805,0.36392817,1.0,0.011464291286468507,2479.214598417282,200000
