training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
13.977361,-12.83392,266.2693,642.7907,4.59638,-9.873494,0.13682185,1.0,216.21721,0.5755293,-7.716533,0.09125626,1.0,0.09795275,-37.585686,-98.15502,0.89748967,647.3574,4.6435366,-9.960404,0.15420389,1.0,216.56358,0.5579456,-7.819723,0.11705358,1.0,0.16674764,-37.55797,-97.49336,0.9202645,0.002627454328536987,457.37096095085144,75000
11.332142,-8.372389,241.15729,641.5356,3.8599498,-10.112024,0.18452798,1.0,160.02432,0.42228183,-7.717147,0.09140973,1.0,0.28575498,-34.389557,-99.05922,1.0490867,639.4545,4.1098013,-10.133986,0.18892018,1.0,172.70528,0.45904416,-7.828335,0.119206674,1.0,0.25114685,-36.11718,-98.54355,1.5177369,0.0024918179988861083,469.8300561904907,80000
9.188394,-13.215358,229.1576,622.07996,4.324422,-9.799568,0.1220366,1.0,177.16013,0.42699334,-7.723786,0.09306944,1.0,0.038463134,-37.71025,-99.7377,0.89888597,651.44604,4.744957,-9.898191,0.14176121,1.0,189.5272,0.49378082,-7.822136,0.1176571,1.0,0.07255034,-37.827698,-99.318054,0.96298957,0.002467075347900391,482.1654386520386,85000
13.44429,-14.212162,272.26242,652.68396,4.269253,-9.890047,0.1401324,1.0,188.12137,0.4665021,-7.710619,0.08977773,1.0,0.09144992,-36.202538,-100.78148,1.0491194,652.32477,4.623315,-10.084257,0.17897435,1.0,190.54214,0.5014516,-7.8148723,0.11584103,1.0,0.04305068,-36.93995,-99.98397,0.99189353,0.0024644357681274415,494.4876251220703,90000
7.4877834,-7.77877,214.039,660.9995,4.599283,-9.813133,0.12474977,1.0,182.07764,0.51132584,-7.7214513,0.09248577,1.0,0.24793826,-39.355125,-101.50488,1.0656022,657.78894,4.4487095,-9.937643,0.14965162,1.0,196.96204,0.53420115,-7.801719,0.11255275,1.0,0.22748122,-38.02668,-100.02904,1.4531993,0.002456236982345581,506.7688150405884,95000
10.425922,-10.562493,274.13,637.443,4.564417,-9.826213,0.12736551,1.0,186.8117,0.49613103,-7.719103,0.09189879,1.0,0.32168365,-38.326134,-102.185745,1.1111106,653.9043,4.5666733,-10.089473,0.18001758,1.0,204.91187,0.5311002,-7.807652,0.114035904,1.0,0.24245751,-38.083305,-100.48381,1.292392,0.002471763038635254,519.1276350021362,100000
9.544934,-6.942727,289.23502,630.8187,4.4767046,-9.9215355,0.14643024,1.0,200.73181,0.5298086,-7.7172337,0.09143127,1.0,-0.13895065,-38.63398,-102.712006,1.6047282,658.6979,4.2926536,-10.041114,0.17034587,1.0,203.37581,0.51950663,-7.8338275,0.120579764,1.0,-0.05989158,-38.601242,-101.174194,1.1648917,0.04603335494995117,749.2944157123566,105000
19.58664,-24.137424,327.5834,640.797,4.5280523,-9.8931265,0.14074813,1.0,192.4047,0.53426564,-7.71729,0.09144551,1.0,0.059180476,-39.103054,-101.92656,1.2445953,646.89734,4.235807,-10.03805,0.16973293,1.0,226.90794,0.65649104,-7.8194666,0.116989546,1.0,0.059714016,-36.462257,-101.566055,1.0721893,0.0025622277736663816,762.1055617332458,110000
7.00031,-8.008101,224.99179,641.7139,4.6279306,-9.86568,0.13525902,1.0,168.04446,0.4894487,-7.703458,0.08798739,1.0,0.14414617,-39.58484,-102.42615,1.0139103,636.85205,4.3589206,-9.943304,0.15078378,1.0,172.25543,0.49212304,-7.811947,0.11510966,1.0,0.14940016,-37.05684,-101.48376,0.8947572,0.0025177611351013185,774.6943731307983,115000
13.324557,-20.430931,265.18665,643.13745,4.5650387,-9.844089,0.13094066,1.0,161.8996,0.47776306,-7.722234,0.092681356,1.0,0.08033811,-37.029953,-103.85437,1.4240825,644.3144,4.350979,-10.000019,0.1621267,1.0,173.55338,0.5101473,-7.8364077,0.12122488,1.0,0.0497781,-38.022408,-101.11696,1.1238151,0.002553077173233032,787.4597642421722,120000
