training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
14.520494,-10.787195,233.87154,567.4576,4.2557154,-11.323844,0.4268917,1.0,51.094,0.6754212,-2.140328,0.3024509,1.0,0.38446376,-34.368706,-95.57974,0.8918617,550.82874,3.98289,-11.61289,0.48470092,1.0,51.107246,0.64252096,-2.1508317,0.31295455,1.0,0.38939878,-34.33489,-96.7139,1.0334935,0.0022663994312286375,350.8360240459442,75000
10.147145,-12.926666,199.68442,585.40405,4.927659,-11.27906,0.4179351,1.0,53.01283,0.6807494,-2.1426737,0.3047967,1.0,0.48133355,-34.244553,-95.80324,0.8780363,558.26434,4.271268,-11.467135,0.4555501,1.0,54.159176,0.7060556,-2.1330442,0.29516724,1.0,0.42918175,-34.051247,-96.31232,1.0403523,0.0022687083721160887,362.17957043647766,80000
8.536754,-18.45982,294.29742,564.6084,4.3339367,-11.394938,0.44111058,1.0,55.330467,0.70281935,-2.1238809,0.28600398,1.0,0.28680304,-35.26704,-96.27486,0.9214356,542.06055,3.0273142,-11.707396,0.50360197,1.0,54.090096,0.67460966,-2.1566734,0.3187962,1.0,0.31103736,-32.97226,-95.178696,0.9488853,0.0022671742916107176,373.5154480934143,85000
9.177452,-5.3972363,197.37964,556.16077,3.9597955,-11.291422,0.4204073,1.0,55.55325,0.7085788,-2.1211553,0.28327817,1.0,0.5272049,-33.952316,-97.828705,0.7573694,570.5317,4.494459,-11.369898,0.4361026,1.0,55.07576,0.7489672,-2.1030688,0.26519173,1.0,0.55632216,-34.30838,-96.19189,1.036625,0.0022678900241851806,384.85490250587463,90000
7.348036,-6.6515436,199.19823,541.34155,4.049157,-11.258109,0.41374475,1.0,51.925674,0.615028,-2.1500592,0.3121822,1.0,0.83604664,-32.97536,-91.569824,0.9611992,568.8634,4.3880787,-11.221966,0.40651605,1.0,53.71256,0.69027,-2.1227303,0.28485322,1.0,0.7854351,-34.116837,-97.10019,1.0911531,0.0022666996479034423,396.18840765953064,95000
8.371485,-11.746775,237.43575,573.9794,4.4182863,-11.272386,0.41660014,1.0,54.35977,0.6877971,-2.1539674,0.31609038,1.0,0.079601295,-34.98137,-97.53816,0.8023346,564.9831,4.32007,-11.430476,0.44821817,1.0,55.135803,0.70902276,-2.1319385,0.29406154,1.0,0.23643395,-34.389946,-95.52956,0.9341786,0.0022697221755981446,407.53702306747437,100000
7.9754677,-13.237898,243.27238,575.77405,4.338849,-11.260884,0.41429982,1.0,57.962162,0.71515095,-2.127258,0.28938115,1.0,0.16026479,-35.663513,-96.58832,0.9291083,557.5027,3.8935313,-11.32048,0.426219,1.0,56.64274,0.7362185,-2.1352012,0.29732418,1.0,0.2218298,-34.11897,-96.77309,0.82219577,0.00789862403869629,447.0301477909088,105000
8.650341,-11.251728,266.83298,559.0909,3.78237,-11.312053,0.42453346,1.0,54.79344,0.6732988,-2.1308753,0.2929981,1.0,0.3845849,-34.432926,-97.09117,0.9054538,568.0931,4.150538,-11.259897,0.41410252,1.0,49.609905,0.6591563,-2.1577053,0.3198283,1.0,0.3381962,-33.585983,-95.41271,0.88528156,0.0022685933113098145,458.37311935424805,110000
7.027879,-9.859602,196.96968,555.0808,3.8802853,-11.43238,0.44859886,1.0,55.033173,0.70861745,-2.1242056,0.28632873,1.0,0.3107607,-34.079056,-97.38937,1.0144618,587.8042,4.7424364,-11.281112,0.41834545,1.0,54.622257,0.6971073,-2.119969,0.28209195,1.0,0.8969274,-34.603443,-98.009674,0.904384,0.0022698801040649413,469.7225241661072,115000
10.371288,-10.853144,220.87712,572.87317,4.6668615,-11.1679,0.39570287,1.0,50.340714,0.7098477,-2.1172638,0.27938676,1.0,0.44452095,-34.354385,-94.02813,0.8727332,538.48694,3.5154862,-11.446123,0.45134756,1.0,55.878044,0.6820636,-2.1293068,0.29142967,1.0,0.3472034,-34.596123,-95.74286,0.9317225,0.0022706377506256105,481.0757176876068,120000
