training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.1607265,-7.721388,2.3164165,0.09246995,4.2474523,0.84431005,-3.5861673,1.0,0.9994879,0.796875,0.0015814021,-15.618816,-15.634356,0.277569,352.6068,5.324472,1.5118552e-08,0.03248619,-0.03278268,0.68538755,3.3188205,-7.8088555,2.3426566,0.114336796,9.28331,0.97616386,-9.062033,1.0,0.99853134,0.2890625,0.0066910465,-15.36912,-15.380232,-3.9995975,2891.1277,5.7042603,6.807845e-11,0.0020407007694244386,368.13293194770813,60000
3.1035242,-7.7028527,2.3108559,0.08783619,4.009259,0.7926682,-3.178013,1.0,0.9994421,0.80371094,0.0016244376,-15.724871,-15.740557,0.32211888,287.4437,5.810875,3.1246477e-09,0.060845174,-0.05601176,0.8989271,3.3182101,-7.801139,2.3403418,0.112407714,9.555916,0.9778684,-9.344429,1.0,0.99862576,0.28808594,0.0064297183,-15.667192,-15.678502,-4.097993,360.64728,4.272193,1.0805297e-12,0.0020471218585968016,378.36854577064514,65000
3.1506221,-7.71523,2.314569,0.09093043,3.9974818,0.8360532,-3.3421082,1.0,0.9994564,0.8095703,0.0015358905,-16.06029,-16.07614,0.15428257,833.7161,4.8764677,9.450132e-08,0.027837474,-0.02020249,0.62879735,3.3247867,-7.8164043,2.3449216,0.11622411,9.668156,0.97986495,-9.473488,1.0,0.9986448,0.29003906,0.0064402083,-15.753889,-15.765092,-4.291864,1437.9938,4.6205845,2.0108442e-12,0.0020430503368377684,388.58380365371704,70000
3.1093247,-7.7041035,2.3112311,0.08814875,3.822457,0.79809356,-3.0506792,1.0,0.99949074,0.8251953,0.0014593037,-15.984632,-16.000553,0.30440006,634.44086,5.337331,3.3917666e-09,0.033377014,-0.0360271,0.65663093,3.3232567,-7.8117633,2.3435292,0.11506377,9.7842655,0.97972757,-9.585916,1.0,0.99862576,0.2705078,0.006773637,-15.8254175,-15.836378,-4.6122017,1282.3289,4.1695766,5.01419e-12,0.0020457615852355958,398.8126173019409,75000
3.1060004,-7.7177153,2.3153145,0.09155175,3.9045362,0.79068595,-3.0872626,1.0,0.99950314,0.8095703,0.0014646703,-15.9858,-16.001902,0.4866137,475.99695,6.138294,8.9001816e-07,0.06698191,-0.042732593,0.9425677,3.3277922,-7.8295507,2.3488655,0.11951069,9.773657,0.97892666,-9.567694,1.0,0.9986601,0.29882812,0.0066163754,-15.777338,-15.7883415,-4.5209174,2252.089,5.570408,2.1513238e-10,0.002047639322280884,409.05081963539124,80000
3.075912,-7.717682,2.3153048,0.091543436,3.7579195,0.76060724,-2.8583016,1.0,0.9995079,0.8388672,0.0013911122,-16.142603,-16.158876,0.506734,357.308,6.343696,1.187199e-07,0.030608144,-0.032758173,0.681615,3.326836,-7.808087,2.3424263,0.11414469,10.211104,0.9844098,-10.051912,1.0,0.9987135,0.29296875,0.00669065,-15.882376,-15.893338,-4.668069,2987.27,5.2437572,2.0162719e-11,0.0020435091495513914,419.26837635040283,85000
3.1136143,-7.6959143,2.3087742,0.08610149,4.1785874,0.8048401,-3.3630953,1.0,0.99948025,0.82714844,0.0014631073,-16.10118,-16.11736,0.4497937,262.82385,5.483876,1.1953777e-09,0.040201217,-0.057002448,0.79714227,3.3189657,-7.8136115,2.3440835,0.11552585,9.733099,0.9748821,-9.488626,1.0,0.9985943,0.29589844,0.006550825,-15.999771,-16.011309,-4.197369,2889.2834,7.3393774,8.381459e-12,0.0020445483684539793,429.4911229610443,90000
3.0669153,-7.7104697,2.313141,0.08974038,3.6705704,0.7537741,-2.7667816,1.0,0.9995222,0.83496094,0.0013510217,-16.118101,-16.134537,0.6953193,297.1594,6.956537,5.6110018e-08,0.045433506,-0.06279151,0.8289925,3.3251324,-7.80625,2.341875,0.11368552,10.383352,0.9832572,-10.209507,1.0,0.99867725,0.2939453,0.006940192,-15.9779625,-15.988818,-4.8725863,506.26407,4.8610287,2.7968508e-11,0.002047614049911499,439.72919821739197,95000
3.1012592,-7.712063,2.3136191,0.090138644,3.9958153,0.78764015,-3.1472654,1.0,0.99952507,0.8408203,0.001330747,-16.209614,-16.226074,0.6301614,284.50806,6.547112,1.0574721e-08,0.03899049,-0.03731238,0.7047296,3.3244905,-7.788853,2.336656,0.109336294,10.376233,0.9878346,-10.250003,1.0,0.9986448,0.3076172,0.0068744305,-16.12659,-16.13763,-4.8306427,723.3538,3.9413676,1.5639793e-11,0.00204334716796875,449.94594073295593,100000
3.106821,-7.695413,2.308624,0.08597629,3.8491213,0.79819703,-3.0723581,1.0,0.99950314,0.8339844,0.0013994626,-16.211857,-16.228212,0.5176106,188.54236,5.785759,2.9063502e-08,0.031377096,-0.027353672,0.6480704,3.3421855,-7.8386045,2.3515816,0.12177409,10.308451,0.99060386,-10.211593,1.0,0.99873066,0.27734375,0.0067312988,-16.162678,-16.17368,-4.9055586,603.3142,3.866958,3.3352324e-11,0.04276632027626038,663.7775473594666,105000
3.0881767,-7.711035,2.3133106,0.089881614,3.6973338,0.774866,-2.8649387,1.0,0.9994974,0.8378906,0.0013415418,-16.358908,-16.375435,0.54822063,209.2523,5.847182,1.8330395e-05,0.06823823,-0.047388785,0.8473445,3.3217707,-7.793052,2.3379157,0.110386044,10.473831,0.98385495,-10.304731,1.0,0.9986687,0.27929688,0.0068959165,-16.281475,-16.292711,-4.78553,363.09702,3.8793955,3.035507e-11,0.002044945526123047,674.0022811889648,110000
3.0560522,-7.6942606,2.308278,0.085688114,3.599257,0.7477741,-2.691432,1.0,0.9995136,0.8339844,0.0013414219,-16.427658,-16.444443,0.7413473,339.39694,7.5323715,8.9549806e-10,0.03466453,-0.036093473,0.6756692,3.331687,-7.8266935,2.3480082,0.11879639,9.981119,0.9836788,-9.818216,1.0,0.99858093,0.2734375,0.007041379,-16.19619,-16.207249,-4.8824534,710.6725,4.372611,2.6097438e-10,0.0020462559700012207,684.2335665225983,115000
3.0836194,-7.6779213,2.3033764,0.08160321,3.6980162,0.7802429,-2.8853517,1.0,0.99949265,0.8388672,0.0013192829,-16.434057,-16.450747,0.63775414,230.48715,6.091354,9.2336144e-08,0.040391814,-0.04121995,0.7312014,3.3318267,-7.8269863,2.3480961,0.118869536,10.121431,0.9837306,-9.956763,1.0,0.9986963,0.29101562,0.006942274,-16.265245,-16.276274,-4.981902,554.10767,3.753185,1.1054645e-11,0.0020412930965423583,694.4400384426117,120000
3.0914063,-7.688111,2.3064332,0.0841507,3.8331988,0.784973,-3.0089583,1.0,0.99954414,0.85839844,0.0012603124,-16.473877,-16.490606,0.6408682,345.90683,6.661542,2.8048538e-07,0.055959236,-0.05559893,0.82528305,3.3391986,-7.8388867,2.351666,0.12184468,10.652996,0.98753256,-10.520182,1.0,0.9987688,0.30859375,0.0066748518,-16.286121,-16.297249,-4.9012585,11296.894,11.225046,2.4182021e-11,0.0020454027652740477,704.6670579910278,125000
3.1042325,-7.675572,2.3026714,0.081015885,3.7423377,0.8015611,-2.999713,1.0,0.99951077,0.84375,0.0013140279,-16.652431,-16.669224,0.52647424,222.57964,6.196194,6.785908e-08,0.05921151,-0.060761075,0.81024045,3.334232,-7.8219404,2.3465822,0.11760805,10.604059,0.98765,-10.4731,1.0,0.9987745,0.30371094,0.0065340726,-16.449017,-16.460442,-4.761627,903.51825,4.2193384,1.8109993e-13,0.002046076440811157,714.8974461555481,130000
3.0347514,-7.6866703,2.3060012,0.08379056,3.6616094,0.7287503,-2.6683996,1.0,0.9995527,0.8652344,0.001201178,-16.45941,-16.476273,0.7883887,457.7402,6.9537034,4.8684374e-06,0.035466656,-0.04587391,0.6809715,3.3208587,-7.78761,2.3362832,0.10902553,10.442322,0.98457557,-10.281256,1.0,0.998724,0.28320312,0.007147761,-16.473225,-16.484173,-5.2733793,514.0493,3.8377707,2.8428648e-13,0.0020442156314849852,725.1185321807861,135000
3.0860496,-7.690938,2.3072817,0.084857516,3.7612453,0.7787678,-2.9291377,1.0,0.99952507,0.8486328,0.0012712702,-16.466763,-16.483503,0.6601231,252.27638,6.311637,2.2020335e-07,0.035953674,-0.028859358,0.68174464,3.336418,-7.8468966,2.3540692,0.12384714,10.626632,0.9823487,-10.439058,1.0,0.9987078,0.2919922,0.0069891484,-16.351013,-16.36207,-5.0399547,1027.8054,4.9456234,2.876096e-13,0.0020434062004089358,735.335568189621,140000
3.0599537,-7.694393,2.3083181,0.08572121,3.6457872,0.7516357,-2.7403045,1.0,0.99957085,0.86328125,0.0012019624,-16.51022,-16.527205,0.866465,1478.7904,8.258866,2.6872633e-06,0.0654145,-0.05724217,0.87000334,3.3265486,-7.8190413,2.3457127,0.11688331,10.491209,0.98083586,-10.290154,1.0,0.9987545,0.29492188,0.0069155507,-16.42675,-16.43775,-5.1741767,933.61365,3.6856976,7.286175e-12,0.002047640562057495,745.5737774372101,145000
3.0534942,-7.692788,2.3078365,0.085320115,3.4085054,0.74565774,-2.5415792,1.0,0.99954796,0.8544922,0.0011911335,-16.629726,-16.646723,0.7578833,155.77094,6.0581007,1.6073605e-05,0.043640442,-0.045700904,0.75268304,3.3330786,-7.823475,2.3470426,0.11799166,10.214123,0.986036,-10.071493,1.0,0.9987383,0.30664062,0.0065798825,-16.518665,-16.530191,-4.728603,1737.8043,6.6063757,1.9730233e-12,0.002045565366744995,755.8016107082367,150000
3.013131,-7.678731,2.3036194,0.08180579,3.5661108,0.7095116,-2.5301974,1.0,0.99954224,0.8515625,0.0012753617,-16.56303,-16.580004,0.80019265,576.86536,7.795665,7.3117775e-08,0.0277445,-0.026106153,0.63807005,3.3332303,-7.823516,2.347055,0.11800193,10.800306,0.98617524,-10.650995,1.0,0.9986706,0.30566406,0.006937427,-16.408176,-16.419441,-4.882834,3180.3755,6.026537,7.779803e-11,0.002044332790374756,766.0232799053192,155000
